,neighbourhood_cleansed,neighbourhood_group_cleansed,zipcode,latitude,longitude,is_location_exact,property_type,price,weekly_price,monthly_price,neighbourhood_cleansed_index,neighbourhood_group_cleansed_index,property_type_index
75,Embajadores,Centro,28012.0,40.413918808007885,-3.703561672982621,1,Apartment,75.0,570.0,1200.0,12,1,0
76,Universidad,Centro,28004.0,40.423837008784666,-3.706860366641525,1,Apartment,40.0,280.0,1200.0,15,1,0
77,Palos de Moguer,Arganzuela,28012.0,40.40395937655153,-3.7012099195957218,1,Apartment,25.0,175.0,700.0,26,2,0
78,Cortes,Centro,28014.0,40.414758725572476,-3.695312926887879,1,Apartment,140.0,650.0,1850.0,13,1,0
79,Universidad,Centro,28004.0,40.42063081720683,-3.7053938659893775,1,Condominium,85.0,476.0,1620.0,15,1,7
80,Argüelles,Moncloa - Aravaca,28008.0,40.429732958988595,-3.7211758852618737,1,Apartment,30.0,210.0,700.0,92,9,0
81,Embajadores,Centro,28012.0,40.412729409852815,-3.7032392069314457,1,Apartment,30.0,150.0,410.0,12,1,0
82,Puerta Bonita,Carabanchel,28025.0,40.37987394939413,-3.7321511156632057,1,Apartment,69.0,400.0,1100.0,115,11,0
83,Canillas,Hortaleza,28043.0,40.45856446212667,-3.6481108128586186,1,Apartment,50.0,225.0,609.0,163,16,0
84,Justicia,Centro,28004.0,40.42333378111268,-3.697053805585744,1,Apartment,95.0,701.0,2000.0,14,1,0
85,Opañel,Carabanchel,28019.0,40.39216534162692,-3.723914401836188,1,Apartment,40.0,280.0,1200.0,112,11,0
86,Cortes,Centro,28014.0,40.41365683011272,-3.697836621641097,0,Apartment,75.0,525.0,2250.0,13,1,0
87,Sol,Centro,28012.0,40.416013616858784,-3.708528782734712,0,Apartment,145.0,1015.0,4350.0,16,1,0
88,Universidad,Centro,28004.0,40.42348308060827,-3.703358417465337,1,Bed and breakfast,31.0,250.0,900.0,15,1,8
89,Embajadores,Centro,28012.0,40.41174842414734,-3.6993131882133783,1,Apartment,120.0,460.0,1400.0,12,1,0
90,Goya,Salamanca,28006.0,40.42670437682979,-3.673122496399505,1,Serviced apartment,114.0,690.0,2150.0,42,4,5
91,Embajadores,Centro,28005.0,40.4091577849192,-3.7079885006268185,1,Apartment,75.0,450.0,1550.0,12,1,0
92,Cortes,Centro,28014.0,40.41517536719893,-3.699795952332706,1,Apartment,30.0,160.0,550.0,13,1,0
