,ACONDICIONAMIENTOVEHICULOS,ACONDICIONAMIENTOVIAJEROS,BARRIO,CALIFICADORPORTAL,CARRETERA,CODIGOCTMESTACIONREDMETRO,CODIGOEMPRESA,CODIGOENTIDAD,CODIGOESTACION,CODIGOINTERCAMBIADOR,CODIGOMUNICIPIO,CODIGONUCLEO,CODIGOPOSTAL,CODIGOPROVINCIA,CODIGOVIA,CORONA123,CORONATARIFARIA,CORREDOR,DENOMINACION,DENOMINACIONABREVIADA,DENOMINACION_SAE,DISTRITO,ENCUESTAAFOROS,ENCUESTADOMICILIARIA,FECHAACTUAL,FECHAALTA,FECHAFIN,FECHAINICIO,GRADOACCESIBILIDAD,HOJA25000,IDESTACION,INTERURBANOS_CODIGOEMT_CRTM,INTERURBANOS_CODIGOEMT_EMPRESA,LATITUD,LINEAS,LONGITUD,MODO,MODOINTERCAMBIADOR,NOMBREVIA,NUMEROPORTAL,OBJECTID,OBSERVACIONES,PARTICULA,SECCIONCENSAL,SECTOR,SECTORURBANO,SITUACION,SITUACIONCALLE,TESELA,TIPO,TIPONUMERO,TIPOVIA,X,Y,ZONATRANSPORTE
2769,3,2,125,,,,2596,07901,1843,36,079,0790101,28026,28,05651,2,A,4,Pº STA.Mª CABEZA-PZA.FDEZ.LADREDA,PºSta Mª de la Cabeza con Marcelo Usera,,12,,315,20170920,20010709,,19861001,T,559-3,6_1843,,,40.385523107638136,60,-3.716251289780314,6,90.0,Santa María de la Cabeza,168,2770,,de,074,,0790101A01,S,,T07913230,U,N,Paseo,439315.0,4471002.0,079-12-315
2770,3,2,125,,,,2543,07901,1769,36,079,0790101,28026,28,05651,2,A,4,Pº STA.Mª CABEZA-PZA.FDEZ.LADREDA,Pº Sta María Cabeza con PzaFdez Ladreda,,12,,315,20170920,20010709,,19861001,T,559-3,6_1769,,,40.38556548043522,"55, N17",-3.716862871599921,6,90.0,Santa María de la Cabeza,168,2771,Con Plaza de Fernández Ladreda,de,074,3,,S,,T07913201,U,N,Paseo,439264.0,4471007.0,079-12-315
2771,3,2,126,,,,5050,07901,1595,36,079,0790101,28026,28,03753,2,A,4,MARCELO USERA-PZA.FDEZ.LADREDA,"Marcelo Usera, 167 con C/ San Magín",,12,,318,20170920,20010709,,19861001,T,559-3,6_1595,,,40.38509558926103,"60, 81",-3.7163448498574145,6,90.0,Marcelo Usera,170,2772,,de,075,3,0790101A01,S,,T07913300,U,N,Calle,439307.0,4470954.0,079-12-318
2772,3,1,117,,,,3929,07901,5648,36,079,0790101,28025,28,06315,2,A,4,VIA LUSITANA-INTERCAMBIADOR,,,11,,297,20170920,20071022,,20070503,T,559-3,6_5648,,,40.38487010570406,"47, 116, 247, E1",-3.7185506165558944,6,90.0,Vía Lusitana,2,2773,,,178,3,,S,,T07913292,U,N,Calle,439120.0,4470931.0,079-11-297
2773,3,2,025,,,,1186,07901,5001,181,079,0790101,28045,28,00759,1,A,4,BATALLA DEL SALADO-FERROCARRIL,,,02,,39,20170920,20030409,,20030308,T,,6_5001,,,40.40057598148451,"8, 19, 45, 47, 86, 247",-3.6963121747019496,6,92.0,Batalla del Salado,26,2774,,de la,063,,0790101A01,S,,T07910905,U,N,Calle,441021.0,4472659.0,079-02-039
2774,3,2,026,,,,4839,07901,5004,,079,0790101,28045,28,00759,1,A,4,BATALLA DEL SALADO-DELICIAS,,,02,,31,20170920,20030409,,20030308,T,,6_5004,,,40.40446164540594,"19, 45, 86",-3.695857201304991,6,,Batalla del Salado,3,2775,,de la,079,1,,S,,T07910409,U,N,Calle,441063.0,4473090.0,079-02-031
2775,3,2,,,,,2049,07901,505,,079,,28014,28,05138,1,A,3,Pº REINA CRISTINA-ANDRES TORREJON,"Reina Cristina, 11",,03,,54,20170920,20010709,,19861001,T,,6_505,,,40.4070106296149,"10, 14, 26, 32, C1, N9",-3.6823304275883846,6,,Reina Cristina,13,2776,,de la,,1,,S,,,U,N,Paseo,442213.0,4473364.0,079-03-054
2776,3,2,,,,,2047,07901,506,,079,,28014,28,02869,1,A,3,Pº INFANTA ISABEL Nº 25,"Pº Infanta Isabel, 25",,03,,54,20170920,20010709,,19861001,T,,6_506,,,40.40645021187102,"10, 14, 26, 32, C1, N9",-3.6856953223591677,6,,Infanta Isabel,29,2777,,de la,,1,,S,,,U,N,Paseo,441927.0,4473304.0,079-03-054
2777,3,2,133,,,,1105,07901,514,,079,0790101,28018,28,99999,2,A,3,JAVIER DE MIGUEL,,,13,,359,20170920,20010709,,19861001,T,,6_514,,,40.3877739557516,"103, 310, N10",-3.660952700853857,6,,Javier de Miguel,38,2778,,de,074,3,,S,,T07912672,U,N,Calle,444011.0,4471215.0,079-13-359
2778,3,2,133,,,,1104,07901,523,,079,0790101,28018,28,03031,2,A,3,JAVIER DE MIGUEL,,,13,,357,20170920,20010709,,19861001,T,,6_523,,,40.38891298782112,"103, 310",-3.6634262750573803,6,,Javier de Miguel,7,2779,,de,078,3,,S,,T07912112,U,N,Calle,443802.0,4471343.0,079-13-357
2779,3,2,181,,,,5038,07901,533,,079,,28031,28,11285,2,A,3,Cº POZO TIO RAIMUNDO-Cº HORMIGUERAS,"Cº del Pozo del Tío Raimundo, 32",,18,,495,20170920,20010709,,19861001,T,,6_533,,,40.372615468247766,T31,-3.64910798875859,6,,Pozo del Tío Raimundo,13,2780,,del,002,3,,S,,,U,N,Cmno,445004.0,4469525.0,079-18-495
2780,3,2,6,,,,187,07901,54,,079,,28003,28,02695,1,A,6,GUZMAN EL BUENO-SAN FRANCISCO DE SALES,"Guzmán el Bueno, 131",,07,,121,20170920,20010709,,19861001,T,,6_54,,,40.443080783250046,2,-3.712609543536117,6,,Guzmán el Bueno,133,2781,,de,133,1,,S,,,U,N,Calle,439676.0,4477388.0,079-07-121
2781,3,2,206,,,,3673,07901,5412,,079,0790101,28022,28,10965,2,A,2,ARCAUTE-ARAMAYONA,,,20,,558,20170920,20060316,,20060311,T,,6_5412,,,40.44361553341425,"77, N5",-3.5777895829762247,6,,Arcaute,11,2782,,de,068,4,0790101A01,S,,T0795827,U,N,Calle,451110.0,4477364.0,079-20-558
2782,3,2,181,A,,,1813,07901,2929,,079,0790101,28031,28,05475,1,A,3,SAN JAIME-PUERTO DE LAS PILAS,"San Jaime, 36",,18,,497,20170920,20010709,,19861001,T,559-4,6_2929,,,40.378910899751226,"130, N9, T31",-3.6280088024103474,6,,San Jaime,38,2783,,de,002,3,0790101779,S,,T07914168,U,N,Calle,446800.0,4470211.0,079-18-497
2783,3,2,074,,,,493,07901,347,,079,0790101,28010,28,00224,1,A,6,ALMAGRO-ZURBANO,"Almagro, 11",,07,,140,20170920,20010709,,19861001,T,559-1,6_347,,,40.43023224744205,7,-3.6931277807237946,6,,Almagro,13,2784,,de,078,1,0790101295,S,,T0797508,U,N,Calle,441317.0,4475949.0,079-07-140
2784,3,2,076,,,,188,07901,55,,079,0790101,28003,28,02695,1,A,6,GUZMAN EL BUENO-JUAN VIGON,"Guzmán el Bueno, 123",,07,,126,20170920,20010709,,19861001,T,559-1,6_55,,,40.441577433149725,"2, 12",-3.712741239514023,6,,Guzmán el Bueno,123,2785,,de,131,1,0790101278,S,,T0796181,U,N,Calle,439663.0,4477221.0,079-07-126
2785,3,2,164,,,,1853,07901,1670,,079,0790101,28033,28,03726,1,A,1,MAR DE LAS ANTILLAS-ABARZUZA,Mar de las Antillas  con  Albarzuza,,16,,445,20170920,20010709,,19861001,T,559-2,6_1670,,,40.47681021372802,"107, N2",-3.6486113254525163,6,,Mar de las Antillas,25,2786,Con Calle de Alcaraz,del,072,,,S,,T0791891,U,N,Calle,445131.0,4481090.0,079-16-445
2786,3,2,107,,,,611,07901,5184,,079,0790101,28044,28,07659,2,A,5,GRAL.ROMERO BASART-CASUARINA,,,10,,247,20170920,20040719,,20040731,T,,6_5184,,,40.37855801906474,155,-3.764799786782224,6,,General Romero Basart,143,2787,,del,210,3,,S,,T07913741,U,N,Calle,435188.0,4470263.0,079-10-247
2787,3,2,107,,,,774,07901,5185,,079,0790101,28044,28,07659,2,A,5,GRAL.ROMERO BASART-CASUARINA,,,10,,247,20170920,20040719,,20040731,T,,6_5185,,,40.37826284183295,155,-3.7644783888776128,6,,General Romero Basart,88,2788,,del,198,3,,S,,T07913805,U,N,Calle,435215.0,4470230.0,079-10-247
2788,3,2,106,,,,627,07901,5186,,079,0790101,28054,28,40136,2,A,5,CTRA.BARRIO DE LA FORTUNA-AV.AVIACION,,,10,,236,20170920,20040719,,20040731,T,,6_5186,,,40.37275787281391,155,-3.7659004380175287,6,,Barrio de la Fortuna,4,2789,,del,216,3,,S,,T07914404,U,N,Ctra,435089.0,4469620.0,079-10-236
2789,3,2,106,A,,,628,07901,5188,,079,0790101,28054,28,C1566,2,A,5,AVDA.DE LA PESETA-CTRA.BARRIO FORTUNA,,,10,,236,20170920,20040719,,20040731,T,,6_5188,,,40.36942310733639,155,-3.7661100923906403,6,,Peseta,15,2790,,de la,216,3,,S,,T07914719,U,N,Avda,435068.0,4469250.0,079-10-236
2790,3,2,106,,,,720,07901,5189,,079,0790101,28054,28,C1566,2,A,5,AV.DE LA PESETA-CTRA.BARRIO LA FORTUNA,,,10,,236,20170920,20040719,,20040731,T,,6_5189,,,40.36960592514662,155,-3.765711685243475,6,,Peseta,131,2791,,de la,216,3,0790101A01,S,,T07914720,U,N,Avda,435102.0,4469270.0,079-10-236
2791,3,2,142,A,,,5361,07901,5034,,079,0790101,28030,28,02382,2,A,3,FTE. CARRANTONA-JOSE BERGAMIN,,,14,,392,20170920,20030425,,20030203,T,,6_5034,,,40.41028210606457,"140, E4",-3.629621935301498,6,,Fuente Carrantona,38,2792,,de la,090,,0790101A01,S,,T0799712,U,N,Calle,446688.0,4473694.0,079-14-392
2792,3,2,143,,,,5362,07901,5035,,079,0790101,28030,28,02382,2,A,3,FTE. CARRANTONA-JOSE BERGAMIN,,,14,,387,20170920,20030425,,20030203,T,,6_5035,,,40.41035238118475,"140, E4",-3.6299525922081872,6,,Fuente Carrantona,59,2793,,de la,081,,0790101A01,S,,T0799673,U,N,Calle,446660.0,4473702.0,079-14-387
2793,3,2,042,,,,2152,07901,5036,61,079,0790101,28009,28,02142,1,A,1,AVDA FELIPE II-ALCALA,,,04,,75,20170920,20030428,,19980112,T,,6_5036,,,40.423935851152116,"15, C1, N3",-3.676677828353966,6,91.0,Felipe II,6,2794,,de,019,1,0790101A01,S,,T0798451,U,N,Avda,442707.0,4475239.0,079-04-075
2794,3,2,042,,,,2153,07901,5037,61,079,0790101,28009,28,02142,1,A,1,AREA INTERMODAL FELIPE II,,,04,,75,20170920,20030428,,19980112,T,,6_5037,,,40.42421670063863,"15, 152, 215, E2, E3",-3.6764095090497144,6,91.0,Felipe II,1,2795,,de,019,1,0790101A01,S,,T0798386,U,N,Avda,442730.0,4475270.0,079-04-075
2795,3,2,042,,,,5089,07901,5040,61,079,0790101,28009,28,02142,1,A,1,AREA INTERMODAL DE FELIPE II,,,04,,75,20170920,20030428,,19990101,T,,6_5040,,,40.424064035051714,63,-3.676325464410497,6,91.0,Felipe II,1,2796,,de,019,1,0790101A01,S,,T0798451,U,N,Avda,442737.0,4475253.0,079-04-075
2796,3,2,212,,,,5390,07901,5041,,079,0790101,28042,28,03993,2,A,2,MEDINA DE POMAR-FRIAS,,,21,,584,20170920,20030505,,20030505,T,,6_5041,,,40.45165361116553,"112, 114, N4",-3.5845804012871088,6,,Medina de Pomar,SN,2797,Frente al nº 20,de,015,4,,S,,T0794793,U,SN,Calle,450540.0,4478260.0,079-21-584
2797,3,2,051,,,,42,07901,1047,342,079,0790101,28046,28,01213,1,A,1,Pº CASTELLANA-PZA.DE LIMA,"Pº de la Castellana, 136 (Pza. de Lima)",,05,,96,20170920,20010709,,19861001,T,559-1,6_1047,,,40.45126313439058,"27, 40, 126, 147, 150, N22, N24",-3.690552453164919,6,92.0,Castellana,136,2798,,de la,004,,0790101265,S,,T0794936,U,N,Paseo,441554.0,4478281.0,079-05-096
2798,3,2,074,,,,57,07901,228,,079,0790101,28046,28,99999,1,A,6,GTA.EMILIO CASTELAR,"Pº Castellana, 41(Gta. Emilio Castelar)",,07,,135,20170920,20010709,,19861001,T,559-1,6_228,,,40.43488537502167,"5, 14, 27, 45, 150, N1, N22, N24",-3.6893360662703216,6,,Castellana,41,2799,,de la,082,1,0790101294,S,,T0796945,U,N,Paseo,441643.0,4476463.0,079-07-135
2799,3,2,055,,,,35,07901,205,180,079,0790101,28046,28,01213,1,A,1,PZA.DE CUZCO,"Pº de la Castellana, 170 (Pza. Cuzco)",,05,,89,20170920,20010709,,19861001,T,559-1,6_205,,,40.45982548181011,"5, 27, 147, N22, N24",-3.6897196875028406,6,93.0,Castellana,170,2800,,de la,070,,0790101130,S,,T0793964,U,N,Paseo,441632.0,4479231.0,079-05-089
2800,3,2,103,,,,1467,07901,3031,262,079,0790101,28011,28,02777,1,A,5,SEPULVEDA-HIGUERAS,"Sepúlveda, 172",,10,,262,20170920,20010709,,19861001,T,559-3,6_3031,,,40.40451825749551,"138, N18",-3.74522775224012,6,93.0,Higueras,49,2801,,de las,050,,,S,,T07910535,U,N,Calle,436858.0,4473130.0,079-10-262
2801,3,2,064,,,,5015,07901,3921,21,079,0790101,28046,28,99999,1,A,6,AVDA. DE ASTURIAS-PLAZA CASTILLA,,,06,,109,20170920,20030101,,20030101,T,559-1,6_3921,,,40.46643059057811,"42, N23",-3.6905492322223648,6,90.0,Asturias,1,2802,,de,072,,0790101119,S,,T0793219,U,N,Avda,441567.0,4479965.0,079-06-109
2802,3,2,051,,,,2131,07901,615,71,079,0790101,28046,28,99999,1,A,1,Pº CASTELLANA-Pº DE LA HABANA,"Pº de la Castellana, 112",,05,,96,20170920,20010709,,19861001,T,559-1,6_615,,,40.44680063775419,14,-3.6906041718619536,6,90.0,Castellana,112,2803,,de la,003,1,0790101265,S,,T0795624,U,N,Paseo,441545.0,4477786.0,079-05-096
2803,3,2,054,,,,99,07901,3184,,079,0790101,28036,28,04486,1,A,1,PADRE DAMIAN-JOSE L.GALDIANO,"Padre Damián, 21",,05,,92,20170920,20010709,,19861001,T,559-2,6_3184,,,40.45744589249613,150,-3.6858715792506986,6,,Padre Damián,21,2804,,del,067,1,0790101263,S,,T0794313,U,N,Calle,441956.0,4478965.0,079-05-092
2804,3,2,054,,,,100,07901,3172,,079,0790101,28036,28,04486,1,A,1,PADRE DAMIAN-JOSE L.GALDIANO,"Padre Damián, 34",,05,,92,20170920,20010709,,19861001,T,559-2,6_3172,,,40.45743820631064,150,-3.6855594511626637,6,,Padre Damián,34,2805,,del,067,1,0790101263,S,,T0794211,U,N,Calle,441982.0,4478964.0,079-05-092
2805,3,2,064,,,,5014,07901,3922,21,079,0790101,28046,28,99999,1,A,6,AVDA. DE ASTURIAS-SAN AQUILINO,,,06,,109,20170920,20030101,,20030101,T,559-1,6_3922,,,40.46663712620192,N23,-3.690210537364036,6,90.0,Asturias,2,2806,,de,076,1,0790101119,S,,T0793024,U,N,Avda,441596.0,4479988.0,079-06-109
2806,3,2,133,,,,3311,07901,3328,,079,0790101,28018,28,45198,2,A,3,SANTOS INOCENTES-MOGAMBO,Santos Inocentes con C/ Mogambo,,13,,362,20170920,20010709,,19861001,T,559-4,6_3328,,,40.38031802503771,136,-3.6594981421070516,6,,Los Santos Inocentes,9,2807,,de,213,3,0790101918,S,,T07913978,U,N,Calle,444128.0,4470386.0,079-13-362
2807,0,1,133,,,,3310,07901,6010,,079,0790101,28018,28,45198,2,A,3,SANTOS INOCENTES-MOGAMBO,,,13,,362,20170920,20100323,,20100322,T,559-4,6_6010,,,40.38034320487632,136,-3.6597599587678484,6,,Los Santos Inocentes,8,2808,,de,207,3,0790101919,S,,T07913976,U,N,Calle,444106.0,4470389.0,079-13-362
2808,0,1,191,B,,,4012,07901,6011,,079,0790101,28032,28,05206,2,A,3,GRAN VIA DEL ESTE-RIVAS,,,19,,531,20170920,20100323,,20100322,T,559-4,6_6011,,,40.40313277247481,T23,-3.59460395339875,6,,Rivas,10,2809,,de,047,4,0790101895,S,,T07910865,U,N,Calle,449654.0,4472880.0,079-19-531
