,BARRIO,CODIGOPOSTAL,DENOMINACION,DISTRITO,LATITUD,LONGITUD,TIPOTRANSPORTE,BARRIO_NOMBRE,DISTRITO_NOMBRE
114,146.0,28030.0,ARTILLEROS,14.0,40.4052238336675,-3.641812337774728,Metro,Vinateros,Moratalaz
115,132.0,28038.0,NUEVA NUMANCIA,13.0,40.39553816215715,-3.664141701485669,Metro,San Diego,Puente de Vallecas
116,191.0,28032.0,SAN CIPRIANO,19.0,40.40381175745944,-3.6023940495699014,Metro,Casco histórico de Vicálvaro,Vicálvaro
117,211.0,28042.0,ALAMEDA DE OSUNA,21.0,40.45778862852046,-3.5875209290434937,Metro,Alameda de Osuna,Barajas
118,12.0,28012.0,ATOCHA,1.0,40.40885159837553,-3.692487271050582,Metro,Embajadores,Centro
119,27.0,28007.0,ATOCHA RENFE,2.0,40.40658681454251,-3.6893781107658525,Metro,Atocha,Arganzuela
120,11.0,28013.0,OPERA,1.0,40.418092919493105,-3.70941860871968,Metro,Palacio,Centro
121,73.0,28004.0,ALONSO MARTINEZ,7.0,40.427720113338644,-3.6959386952332616,Metro,Trafalgar,Chamberí
122,63.0,28020.0,TETUAN,6.0,40.46055188266482,-3.6982498939723283,Metro,Castillejos,Tetuán
123,183.0,28051.0,LA GAVIA,18.0,40.37019166319747,-3.6134634830752566,Metro,Ensanche de Vallecas,Villa de Vallecas
124,42.0,28009.0,GOYA,4.0,40.4245483896706,-3.6759101761859614,Metro,Goya,Salamanca
125,42.0,28009.0,PRINCIPE DE VERGARA,4.0,40.422944861760726,-3.6801226810436933,Metro,Goya,Salamanca
126,35.0,28009.0,RETIRO,3.0,40.42030671752325,-3.6862447191778416,Metro,Jerónimos,Retiro
127,11.0,28013.0,SANTO DOMINGO,1.0,40.421315408133175,-3.707955276656987,Metro,Palacio,Centro
128,73.0,28015.0,SAN BERNARDO,7.0,40.4300127626608,-3.7055699332510224,Metro,Trafalgar,Chamberí
129,183.0,28051.0,LAS SUERTES,18.0,40.36322802476594,-3.59953268972882,Metro,Ensanche de Vallecas,Villa de Vallecas
130,183.0,28051.0,VALDECARROS,18.0,40.36006813318517,-3.5931603549987696,Metro,Ensanche de Vallecas,Villa de Vallecas
131,73.0,28010.0,IGLESIA,7.0,40.434923478284944,-3.698979992348473,Metro,Trafalgar,Chamberí
132,16.0,28013.0,GRAN VIA,1.0,40.42000827950947,-3.701804154062708,Metro,Sol,Centro
133,56.0,28036.0,BAMBU,5.0,40.47681536116508,-3.676367441471156,Metro,Castilla,Chamartín
134,91.0,28008.0,PRINCIPE PIO,9.0,40.42106884438364,-3.7203235591422583,Metro,Casa de Campo,Moncloa - Aravaca
135,91.0,28008.0,PRINCIPE PIO,9.0,40.421030690465024,-3.720326270019501,Metro,Casa de Campo,Moncloa - Aravaca
136,91.0,28008.0,PRINCIPE PIO,9.0,40.420994937799975,-3.720325888662988,Metro,Casa de Campo,Moncloa - Aravaca
137,54.0,28046.0,CUZCO,5.0,40.45842141927867,-3.6898507512138035,Metro,Hispanoamérica,Chamartín
138,51.0,28046.0,SANTIAGO BERNABEU,5.0,40.45158917952577,-3.690379346734845,Metro,El Viso,Chamartín
141,117.0,28025.0,ABRANTES,11.0,40.38083361473125,-3.727900249121708,Metro,Abrantes,Carabanchel
142,133.0,28038.0,PORTAZGO,13.0,40.39266410896103,-3.6586824253444283,Metro,Palomeras Bajas,Puente de Vallecas
143,203.0,28037.0,SAN BLAS,20.0,40.42799190676745,-3.6154690762577584,Metro,Amposta,San Blas - Canillejas
144,201.0,28037.0,SIMANCAS,20.0,40.427992373025205,-3.625721672941209,Metro,Simancas,San Blas - Canillejas
145,159.0,28033.0,PINAR DE CHAMARTIN,15.0,40.48013997815096,-3.666804481448275,Metro,Costillares,Ciudad Lineal
146,159.0,28033.0,PINAR DE CHAMARTIN,15.0,40.48013848447957,-3.6667610675346913,Metro,Costillares,Ciudad Lineal
147,11.0,28013.0,OPERA,1.0,40.418093341994094,-3.7093496027052257,Metro,Palacio,Centro
148,11.0,28013.0,OPERA,1.0,40.41809376445387,-3.709280596689311,Metro,Palacio,Centro
149,117.0,28025.0,PLAZA ELIPTICA,11.0,40.38460079038207,-3.7182520936067522,Metro,Abrantes,Carabanchel
150,52.0,28002.0,AVENIDA DE AMERICA,5.0,40.438035287850475,-3.676583431725225,Metro,Prosperidad,Chamartín
151,52.0,28002.0,AVENIDA DE AMERICA,5.0,40.43803561557426,-3.676527279518791,Metro,Prosperidad,Chamartín
152,52.0,28002.0,AVENIDA DE AMERICA,5.0,40.43803832871194,-3.676471152400047,Metro,Prosperidad,Chamartín
153,42.0,28028.0,MANUEL BECERRA,4.0,40.42790417380744,-3.669258203049727,Metro,Goya,Salamanca
154,61.0,28003.0,CUATRO CAMINOS,6.0,40.44697395278304,-3.7039747719782614,Metro,Bellas Vistas,Tetuán
155,62.0,28003.0,CUATRO CAMINOS,6.0,40.44697427485956,-3.7039217350429934,Metro,Cuatro Caminos,Tetuán
156,105.0,28024.0,COLONIA JARDIN,10.0,40.39697542643425,-3.7746162561961634,Metro,Campamento,Latina
165,72.0,28003.0,CANAL,7.0,40.43841299799997,-3.704334573354305,Metro,Arapiles,Chamberí
166,73.0,28015.0,QUEVEDO,7.0,40.43321731515756,-3.704332861250257,Metro,Trafalgar,Chamberí
170,135.0,28038.0,ALTO DEL ARENAL,13.0,40.38977101214874,-3.6452165490428254,Metro,Portazgo,Puente de Vallecas
172,25.0,28045.0,DELICIAS,2.0,40.399904778554394,-3.6941996160363377,Metro,Delicias,Arganzuela
174,134.0,28038.0,MIGUEL HERNANDEZ,13.0,40.38731574705667,-3.6395099006306384,Metro,Palomeras Sureste,Puente de Vallecas
175,116.0,28054.0,SAN FRANCISCO,11.0,40.37359884105575,-3.7391029291900186,Metro,Buenavista,Carabanchel
176,107.0,28024.0,AVIACION ESPAÑOLA,10.0,40.383639437611244,-3.7839229464393767,Metro,Aguilas,Latina
177,164.0,28043.0,PINAR DEL REY,16.0,40.468001362073785,-3.6486683605201167,Metro,Pinar del Rey,Hortaleza
178,151.0,28017.0,LA ELIPA,15.0,40.426617234977186,-3.650518913902863,Metro,Ventas,Ciudad Lineal
179,205.0,28022.0,ESTADIO OLIMPICO,20.0,40.43339348409986,-3.6001536542125243,Metro,Rosas,San Blas - Canillejas
181,133.0,28038.0,BUENOS AIRES,13.0,40.391562877215755,-3.653906122983696,Metro,Palomeras Bajas,Puente de Vallecas
182,141.0,28030.0,PAVONES,14.0,40.40051154957267,-3.6351225562934064,Metro,Pavones,Moratalaz
183,171.0,28021.0,VILLAVERDE ALTO,17.0,40.34122865689154,-3.711990270868673,Metro,"Villaverde Alto, Casco Histórico de Villaverde",Villaverde
184,44.0,28028.0,VENTAS,4.0,40.43088449881344,-3.6636588664575465,Metro,Guindalera,Salamanca
186,64.0,28046.0,PLAZA DE CASTILLA,6.0,40.46689603731065,-3.6891695870358365,Metro,Almenara,Tetuán
187,56.0,28046.0,PLAZA DE CASTILLA,5.0,40.46689629239304,-3.689126653202441,Metro,Castilla,Chamartín
188,174.0,28021.0,VILLAVERDE BAJO CRUCE,17.0,40.35089476396153,-3.692648941813436,Metro,Los Rosales,Villaverde
189,56.0,28036.0,CHAMARTIN,5.0,40.472103124612666,-3.682590880549976,Metro,Castilla,Chamartín
190,85.0,28046.0,BEGOÑA,8.0,40.48041293210537,-3.6858496955790008,Metro,La Paz,Fuencarral - El Pardo
193,87.0,28035.0,MIRASIERRA,8.0,40.49109778486753,-3.716344482299208,Metro,Mirasierra,Fuencarral - El Pardo
194,36.0,28007.0,SAINZ DE BARANDA,3.0,40.4150284968071,-3.6695137437026353,Metro,Niño Jesús,Retiro
195,36.0,28007.0,SAINZ DE BARANDA,3.0,40.41506853886661,-3.669514139418049,Metro,Niño Jesús,Retiro
196,152.0,28017.0,ASCAO,15.0,40.4302055301581,-3.6410557149842298,Metro,Pueblo Nuevo,Ciudad Lineal
197,22.0,28005.0,PIRAMIDES,2.0,40.40259816545889,-3.711377122812317,Metro,Acacias,Arganzuela
201,42.0,28001.0,GOYA,4.0,40.42480540481797,-3.676846142907447,Metro,Goya,Salamanca
202,41.0,28001.0,PRINCIPE DE VERGARA,4.0,40.424175954821024,-3.6802398689995695,Metro,Recoletos,Salamanca
203,74.0,28010.0,GREGORIO MARAÑON,7.0,40.43753407332082,-3.691267602842976,Metro,Almagro,Chamberí
204,24.0,28045.0,ARGANZUELA-PLANETARIO,2.0,40.393102704920715,-3.6886403474470937,Metro,Legazpi,Arganzuela
205,116.0,28044.0,CARABANCHEL ALTO,11.0,40.3720024216854,-3.751906344267269,Metro,Buenavista,Carabanchel
206,204.0,28032.0,AVENIDA DE GUADALAJARA,20.0,40.42239358382272,-3.6120646096811457,Metro,Arcos,San Blas - Canillejas
