Barrio;Anyo;Trimestre;Precio
Fuencarral-El Pardo;2010;T1;10.39
Fuencarral-El Pardo;2010;T2;10.32
Fuencarral-El Pardo;2010;T3;10.23
Fuencarral-El Pardo;2010;T4;10.3
Fuencarral-El Pardo;2011;T1;10.5
Fuencarral-El Pardo;2011;T2;10.56
Fuencarral-El Pardo;2011;T3;10.34
Fuencarral-El Pardo;2011;T4;10.13
Fuencarral-El Pardo;2012;T1;10.16
Fuencarral-El Pardo;2012;T2;9.96
Fuencarral-El Pardo;2012;T3;9.75
Fuencarral-El Pardo;2012;T4;9.76
Fuencarral-El Pardo;2013;T1;9.6
Fuencarral-El Pardo;2013;T2;9.7
Fuencarral-El Pardo;2013;T3;9.6
Fuencarral-El Pardo;2013;T4;9.7
Fuencarral-El Pardo;2014;T1;10.1
Fuencarral-El Pardo;2014;T2;10
Fuencarral-El Pardo;2014;T3;9.8
Fuencarral-El Pardo;2014;T4;10.2
Fuencarral-El Pardo;2015;T1;10.3
Fuencarral-El Pardo;2015;T2;10.2
Fuencarral-El Pardo;2015;T3;10.4
Fuencarral-El Pardo;2015;T4;10.7
Fuencarral-El Pardo;2016;T1;10.7
Fuencarral-El Pardo;2016;T2;10.7
Fuencarral-El Pardo;2016;T3;11.3
Fuencarral-El Pardo;2016;T4;11.4
Fuencarral-El Pardo;2017;T1;11.5
Fuencarral-El Pardo;2017;T2;11.6
Fuencarral-El Pardo;2017;T3;11.9
Fuencarral-El Pardo;2017;T4;12
Fuencarral-El Pardo;2018;T1;12
Fuencarral-El Pardo;2018;T2;-
Fuencarral-El Pardo;2018;T3;-
Fuencarral-El Pardo;2018;T4;-
Moncloa-Aravaca;2010;T1;12.34
Moncloa-Aravaca;2010;T2;12.29
Moncloa-Aravaca;2010;T3;12.03
Moncloa-Aravaca;2010;T4;11.85
Moncloa-Aravaca;2011;T1;12.16
Moncloa-Aravaca;2011;T2;12.26
Moncloa-Aravaca;2011;T3;12.04
Moncloa-Aravaca;2011;T4;11.56
Moncloa-Aravaca;2012;T1;11.44
Moncloa-Aravaca;2012;T2;11.49
Moncloa-Aravaca;2012;T3;11.36
Moncloa-Aravaca;2012;T4;11.13
Moncloa-Aravaca;2013;T1;10.6
Moncloa-Aravaca;2013;T2;10.8
Moncloa-Aravaca;2013;T3;10.7
Moncloa-Aravaca;2013;T4;10.7
Moncloa-Aravaca;2014;T1;12.4
Moncloa-Aravaca;2014;T2;12
Moncloa-Aravaca;2014;T3;11.7
Moncloa-Aravaca;2014;T4;12
Moncloa-Aravaca;2015;T1;12
Moncloa-Aravaca;2015;T2;12.3
Moncloa-Aravaca;2015;T3;12.9
Moncloa-Aravaca;2015;T4;12.3
Moncloa-Aravaca;2016;T1;12.8
Moncloa-Aravaca;2016;T2;12.8
Moncloa-Aravaca;2016;T3;13.8
Moncloa-Aravaca;2016;T4;14.4
Moncloa-Aravaca;2017;T1;15.1
Moncloa-Aravaca;2017;T2;14
Moncloa-Aravaca;2017;T3;14.8
Moncloa-Aravaca;2017;T4;14.8
Moncloa-Aravaca;2018;T1;14.5
Moncloa-Aravaca;2018;T2;-
Moncloa-Aravaca;2018;T3;-
Moncloa-Aravaca;2018;T4;-
Latina;2010;T1;9.65
Latina;2010;T2;9.57
Latina;2010;T3;9.54
Latina;2010;T4;9.33
Latina;2011;T1;9.45
Latina;2011;T2;9.33
Latina;2011;T3;9.31
Latina;2011;T4;9.33
Latina;2012;T1;9.05
Latina;2012;T2;9.09
Latina;2012;T3;8.95
Latina;2012;T4;8.71
Latina;2013;T1;8.5
Latina;2013;T2;8.3
Latina;2013;T3;8.4
Latina;2013;T4;8.1
Latina;2014;T1;9
Latina;2014;T2;8.6
Latina;2014;T3;8.7
Latina;2014;T4;8.5
Latina;2015;T1;8.6
Latina;2015;T2;8.7
Latina;2015;T3;8.7
Latina;2015;T4;9.3
Latina;2016;T1;9.4
Latina;2016;T2;9.4
Latina;2016;T3;9.9
Latina;2016;T4;10.4
Latina;2017;T1;10.9
Latina;2017;T2;10.2
Latina;2017;T3;10.8
Latina;2017;T4;11.3
Latina;2018;T1;11.2
Latina;2018;T2;-
Latina;2018;T3;-
Latina;2018;T4;-
Carabanchel;2010;T1;9.83
Carabanchel;2010;T2;9.6
Carabanchel;2010;T3;9.66
Carabanchel;2010;T4;9.64
Carabanchel;2011;T1;9.46
Carabanchel;2011;T2;9.25
Carabanchel;2011;T3;9.39
Carabanchel;2011;T4;9.21
Carabanchel;2012;T1;9.18
Carabanchel;2012;T2;8.95
Carabanchel;2012;T3;8.79
Carabanchel;2012;T4;8.63
Carabanchel;2013;T1;8.5
Carabanchel;2013;T2;8.4
Carabanchel;2013;T3;8.3
Carabanchel;2013;T4;8.1
Carabanchel;2014;T1;8.8
Carabanchel;2014;T2;8.3
Carabanchel;2014;T3;8.2
Carabanchel;2014;T4;8.3
Carabanchel;2015;T1;8.4
Carabanchel;2015;T2;8.5
Carabanchel;2015;T3;8.9
Carabanchel;2015;T4;9.2
Carabanchel;2016;T1;8.9
Carabanchel;2016;T2;9.3
Carabanchel;2016;T3;9.7
Carabanchel;2016;T4;10.4
Carabanchel;2017;T1;10.6
Carabanchel;2017;T2;10
Carabanchel;2017;T3;10.7
Carabanchel;2017;T4;11.4
Carabanchel;2018;T1;11.7
Carabanchel;2018;T2;-
Carabanchel;2018;T3;-
Carabanchel;2018;T4;-
Usera;2010;T1;9.08
Usera;2010;T2;9.21
